A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	1	1	#	#	1	0.23793817536009593	0.7504	4	168.18951453885876	4989	0	0.3333333333333333	672.758058155435	938	1250
#	#	#	0	#	1	1	0.03137509992000007	0.5003996802557954	1	154.21712997945744	4974	1	0.3333333333333333	2748.139747246202	626	1251
0	#	0	1	0	1	1	0.03225798193812871	0.5031847133757962	1	152.8133024465298	4037	5	0.8333333333333334	2648.5933329869936	79	157
1	#	#	#	0	0	0	1.0	1.0	25	177.77883591284495	4998	6	0.5	62122.85264184412	625	625
#	1	#	0	1	#	0	0.23793817536009593	0.7504	3	172.99906613673807	4975	7	0.5	513.7464980127677	469	625
#	#	#	#	1	#	0	0.007415771484375	0.375	1	166.52644908786252	4977	9	0.16666666666666666	12342.255891903471	936	2496
0	1	1	#	0	1	0	0.03125	0.5	1	145.56496005412427	4875	11	0.8333333333333334	2604.342741144992	78	156
1	#	0	1	#	#	1	0.03125	0.5	1	156.10732343429802	4985	19	0.5	2792.9590642866297	312	624
1	#	#	#	0	1	0	0.03125	0.5	2	141.48618823420145	4948	20	0.5	10125.473250238465	312	624
#	#	#	0	#	#	1	0.007435631600162591	0.37520064205457465	1	169.541794662913	4990	21	0.16666666666666666	12526.48201773496	935	2492
0	0	0	#	#	#	0	1.0	1.0	33	168.7197499617781	4977	29	0.5	102727.12113285216	623	623
0	#	#	#	0	#	1	0.031758119420559755	0.5016155088852988	1	159.4474645985356	4990	60	0.3333333333333333	2807.0758957509515	621	1238
#	#	#	0	#	#	0	0.09559969512441018	0.6253041362530414	3	169.541794662913	4998	68	0.16666666666666666	8796.957015517031	1542	2466
0	#	#	0	#	#	0	0.2369835715964624	0.7497969130787977	12	170.14740692277826	4977	75	0.3333333333333333	57804.40043908198	923	1231
0	#	0	1	1	1	1	0.030242020769037464	0.49673202614379086	1	166.04695539572367	4242	82	0.8333333333333334	3069.809488457071	76	153
0	1	#	1	#	#	1	1.0	1.0	45	161.3964143899481	4989	82	0.5	182730.1556888843	613	613
1	#	#	1	#	#	1	0.031377342944461394	0.500406834825061	1	157.03592536137143	4985	83	0.3333333333333333	2798.1704642832547	615	1229
0	#	0	#	0	#	0	0.23537539134103527	0.7487765089722676	4	172.15611881468965	4957	93	0.5	688.6244752587586	459	613
0	#	#	1	1	#	1	0.23665808110665365	0.7495908346972177	5	173.02049222489285	4972	108	0.5	10218.979493074574	458	611
