A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	1	1	#	#	1	0.23714671607203802	0.7499001198561726	5	157.54852110381685	9994	0	0.3333333333333333	9211.84687418247	1877	2503
1	#	#	#	0	0	0	1.0	1.0	25	176.88717443005788	9990	6	0.5	60321.80795785739	1251	1251
#	1	#	0	1	#	0	0.23762151614310076	0.7502001601281025	1	146.11785525184754	9967	7	0.5	146.11785525184754	937	1249
0	0	0	#	#	#	0	1.0	1.0	17	141.1533792483048	9969	29	0.5	2399.6074472211812	1247	1247
#	#	#	0	#	#	0	0.09550196308137372	0.6251762336354482	3	158.34949184729425	9995	68	0.16666666666666666	8536.335494646808	3104	4965
0	#	#	0	#	#	0	0.23682682884023046	0.7496977025392987	5	142.9268553370173	9995	75	0.3333333333333333	9149.739307994469	1860	2481
0	1	#	1	#	#	1	1.0	1.0	37	154.3150968124855	9994	82	0.5	108334.43056335305	1239	1239
0	#	0	#	0	#	0	0.23634704271506057	0.7493936944219887	4	150.75933284003773	9949	93	0.5	603.0373313601509	927	1237
0	#	#	1	1	#	1	0.2373046875	0.75	5	173.33524683039772	9994	108	0.5	9632.319154573906	927	1236
#	#	0	1	1	#	1	0.09482811163039348	0.6242914979757085	1	133.79837755615853	9964	108	0.5	133.79837755615853	771	1235
0	#	#	0	1	#	0	0.2389076584820299	0.7510105092966856	4	141.31730130842564	9969	111	0.5	565.2692052337026	929	1237
0	#	0	#	0	0	0	0.2373046875	0.75	3	174.66638853866894	9949	127	0.6666666666666666	523.9991656160068	462	616
1	#	#	#	#	#	0	0.03131343887476198	0.5002028397565923	1	161.73884134711648	9993	136	0.16666666666666666	2742.4090465309714	2466	4930
1	#	1	#	0	#	0	0.2373046875	0.75	4	145.6988121511576	9972	136	0.5	582.7952486046304	924	1232
#	0	#	1	0	#	0	0.2369835715964624	0.7497969130787977	6	147.60869311530945	9949	148	0.5	12943.659620662796	923	1231
#	#	#	1	#	#	1	0.09532868644261529	0.6249492076391711	1	150.33907050317296	9994	152	0.16666666666666666	139.8497470765097	3076	4922
#	#	#	#	#	1	1	0.09530928313316389	0.6249237649928847	3	139.4154088830051	9994	155	0.16666666666666666	7059.403379674528	3074	4919
#	1	#	0	#	#	0	0.23746544124528604	0.7501015847216579	7	158.04494779866303	9995	162	0.3333333333333333	17882.023882290552	1846	2461
#	#	#	0	1	0	0	0.0959118536647592	0.6257119609438568	1	150.24329861913682	9967	162	0.5	150.24329861913682	769	1229
1	#	#	1	#	1	1	0.23633767702073097	0.7493877551020408	2	148.13380413969065	9881	170	0.5	296.2676082793813	918	1225
1	#	0	#	#	0	0	0.23827327677293939	0.7506112469437652	4	171.06460771063092	9990	187	0.5	652.3230385531546	921	1227
#	0	#	#	0	1	0	0.23568685410684403	0.748974569319114	2	137.37419360569595	9940	237	0.5	283.54435501779983	913	1219
#	0	#	1	0	1	0	0.23536276106000156	0.7487684729064039	1	138.2369565009269	9940	237	0.6666666666666666	139.29619562615864	456	609
0	#	#	1	#	#	1	0.23697934522992561	0.7497942386831276	9	150.69712909789882	9994	274	0.3333333333333333	27272.6754868923	1822	2430
#	#	0	1	#	#	1	0.03131448615221896	0.5002061855670104	1	128.68338360065022	9964	294	0.3333333333333333	2328.126175842288	1213	2425
1	#	#	0	#	0	0	0.2386128689341749	0.7508250825082509	4	177.21393981604146	9990	296	0.5	683.0696990802073	910	1212
#	#	#	#	1	1	1	0.23632651617159423	0.7493806771263418	6	160.80411773115532	9994	302	0.3333333333333333	12566.019304738289	1815	2422
#	#	#	1	1	#	1	0.2373046875	0.75	7	165.94290540169027	9994	311	0.3333333333333333	17785.167781189808	1815	2420
1	0	#	#	0	#	0	1.0	1.0	29	162.2670071731362	9990	323	0.5	77313.53904785973	1210	1210
1	#	#	1	1	#	1	0.23697719005131457	0.7497928748964374	5	154.37404238145467	9913	339	0.5	9226.501812831008	905	1207
#	#	#	1	1	1	1	0.5119974757568224	0.8746887966804979	7	186.20544502311537	9994	339	0.5	1240.7976439522595	1054	1205
#	#	1	0	#	#	1	0.03105622217709889	0.499378367177787	2	137.55461897222227	9982	348	0.3333333333333333	10566.320397135074	1205	2413
