A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	#	1	0	0.007423191707399514	0.3750750150030006	1	0	9999	0	0.16666666666666666	0	1875	4999
#	0	1	#	1	0	1	1.0	1.0	49	0	9993	1	0.6666666666666666	0	626	626
#	#	#	1	1	#	1	0.23667254964009607	0.7496	3	0	9998	2	0.3333333333333333	0	1874	2500
#	0	1	#	#	0	1	0.23762151614310076	0.7502001601281025	14	0	9993	2	0.5	0	937	1249
#	#	#	#	1	#	0	0.007428136871282656	0.375124975004999	2	0	9992	2	0.16666666666666666	0	1876	5001
#	#	1	#	1	0	1	0.09521494137500501	0.6248	12	0	9993	3	0.5	0	781	1250
#	#	#	#	#	0	0	0.09534834823098495	0.6249749849909946	2	0	9997	4	0.16666666666666666	0	3123	4997
#	#	#	#	1	1	0	0.0009765625	0.25	1	0	9990	4	0.3333333333333333	0	625	2500
1	#	#	#	#	#	1	0.03134391898653382	0.5003001801080649	4	0	9996	5	0.16666666666666666	0	2500	4997
1	#	#	0	#	#	1	0.03137530056089729	0.500400320256205	1	0	9994	5	0.3333333333333333	0	1250	2498
#	0	#	#	#	1	0	0.03118747501004006	0.49979975971165397	2	0	9984	6	0.3333333333333333	0	1248	2497
#	1	1	#	1	0	1	0.0009765625	0.25	3	0	9986	6	0.6666666666666666	0	156	624
#	0	1	0	1	1	1	1.0	1.0	37	0	9991	7	0.8333333333333334	0	313	313
#	0	1	#	1	1	1	1.0	1.0	53	0	9991	8	0.6666666666666666	0	624	624
0	0	1	0	#	0	1	1.0	1.0	31	0	9985	15	0.8333333333333334	0	312	312
#	0	#	#	1	1	1	0.23698768956572133	0.7497995188452286	28	0	9991	17	0.5	0	935	1247
1	#	1	0	#	#	0	0.03125	0.5	2	0	9982	17	0.5	0	624	1248
0	#	#	#	#	#	1	0.031187424929984147	0.4997995991983968	4	0	9998	21	0.16666666666666666	0	2494	4990
0	0	1	#	1	1	1	1.0	1.0	56	0	9991	21	0.8333333333333334	0	311	311
#	#	#	0	#	#	1	0.007398446079630031	0.3748246141511325	1	0	9994	21	0.16666666666666666	0	1870	4989
#	0	1	#	#	1	1	0.23762253461152522	0.7502008032128514	14	0	9991	22	0.5	0	934	1245
#	0	1	#	1	#	1	1.0	1.0	58	0	9993	24	0.5	0	1245	1245
#	0	1	0	#	0	1	0.2373046875	0.75	14	0	9993	26	0.6666666666666666	0	468	624
1	0	#	1	1	#	1	1.0	1.0	47	0	9975	28	0.6666666666666666	0	623	623
#	0	1	#	#	0	0	0.0009844252814470063	0.2504012841091493	1	0	9982	31	0.5	0	312	1246
#	0	#	#	1	1	0	0.0009844252814470063	0.2504012841091493	5	0	9981	31	0.5	0	312	1246
#	0	1	0	1	#	1	1.0	1.0	50	0	9993	33	0.6666666666666666	0	623	623
#	#	1	#	#	1	0	0.0009726468574921529	0.2497991967871486	1	0	9999	33	0.3333333333333333	0	622	2490
0	0	1	#	1	0	1	1.0	1.0	60	0	9985	37	0.8333333333333334	0	311	311
#	0	1	0	#	#	1	0.2373046875	0.75	16	0	9993	37	0.5	0	933	1244
#	0	1	#	#	#	1	0.23666950401149858	0.7495980707395499	14	0	9993	39	0.3333333333333333	0	1865	2488
#	0	1	0	1	0	1	1.0	1.0	47	0	9993	39	0.8333333333333334	0	312	312
1	0	0	1	1	#	1	1.0	1.0	45	0	9975	44	0.8333333333333334	0	311	311
#	0	1	0	#	1	1	0.23794226017771394	0.750402576489533	6	0	9991	45	0.6666666666666666	0	466	621
0	0	1	0	1	0	1	1.0	1.0	59	0	9985	45	1.0	0	156	156
#	#	1	0	1	1	1	0.23857914583190828	0.7508038585209004	12	0	9994	46	0.6666666666666666	0	467	622
#	0	1	#	1	#	0	0.0	0.0	4	0	46	46	0.5	0	0	1244
