A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	1	0	1	#	1	1	1.0	1.0	3	50.93776787753126	9992	2	0.8333333333333334	152.81330363259377	314	314
0	1	#	1	#	1	1	1.0	1.0	5	56.66830077573307	9992	6	0.6666666666666666	283.3415038786654	625	625
0	0	0	#	#	0	0	1.0	1.0	3	49.40357263333381	9987	6	0.6666666666666666	148.21071790000144	624	624
0	1	#	1	1	1	1	1.0	1.0	5	60.98904583660128	9992	14	0.8333333333333334	304.9452291830064	312	312
0	0	1	1	1	#	1	1.0	1.0	3	60.23382620240485	9946	18	0.8333333333333334	180.70147860721454	312	312
#	1	0	0	#	0	0	1.0	1.0	1	65.44689638221999	9996	26	0.6666666666666666	65.44689638221999	624	624
1	0	0	0	1	0	1	1.0	1.0	1	41.158402309930594	9947	27	1.0	41.158402309930594	156	156
1	0	#	#	0	0	0	1.0	1.0	2	64.14699506600599	9968	39	0.6666666666666666	128.29399013201197	621	621
0	1	#	1	0	0	1	1.0	1.0	3	43.20638825927717	9988	42	0.8333333333333334	129.61916477783151	311	311
1	#	1	0	1	1	1	1.0	1.0	2	59.48985741576947	9963	43	0.8333333333333334	118.97971483153894	310	310
0	0	0	#	0	0	0	1.0	1.0	1	57.1158724721534	9976	53	0.8333333333333334	57.1158724721534	311	311
1	#	1	1	1	1	1	1.0	1.0	2	65.67993175750686	9993	58	0.8333333333333334	131.35986351501373	312	312
1	#	#	1	1	1	1	1.0	1.0	2	62.91195942656314	9993	62	0.6666666666666666	125.82391885312629	621	621
0	1	0	1	#	#	1	1.0	1.0	6	46.68700183929613	9992	65	0.6666666666666666	280.1220110357768	622	622
1	#	0	0	0	0	0	1.0	1.0	2	77.19978834106894	9972	69	0.8333333333333334	154.39957668213788	310	310
1	0	#	0	1	0	1	1.0	1.0	5	53.1849407714318	9966	84	0.8333333333333334	265.924703857159	310	310
0	1	#	0	1	0	0	1.0	1.0	3	61.411767999437714	9979	91	0.8333333333333334	184.23530399831316	310	310
1	0	1	#	0	0	0	1.0	1.0	4	58.15588890865754	9957	106	0.8333333333333334	232.62355563463015	308	308
1	1	0	0	#	0	0	1.0	1.0	5	64.5472010805326	9996	112	0.8333333333333334	322.736005402663	310	310
1	1	#	1	#	1	1	1.0	1.0	4	58.89202197877484	9981	120	0.6666666666666666	235.56808791509937	619	619
1	0	#	#	1	1	1	1.0	1.0	5	63.07723711865445	9993	144	0.6666666666666666	315.3861855932723	616	616
1	1	1	1	#	1	1	1.0	1.0	2	61.75652413816894	9980	151	0.8333333333333334	123.51304827633788	308	308
0	1	0	0	#	#	0	1.0	1.0	3	58.35898573001406	9990	155	0.6666666666666666	175.07695719004218	615	615
0	1	#	1	1	#	1	1.0	1.0	4	55.89805412781984	9992	169	0.6666666666666666	223.59221651127936	615	615
#	0	0	1	0	#	0	1.0	1.0	2	55.343937277353504	9968	169	0.6666666666666666	110.68787455470701	613	613
0	1	1	1	#	0	1	1.0	1.0	4	49.677597683959746	9988	174	0.8333333333333334	198.71039073583898	308	308
0	#	#	1	1	0	1	0.23537539134103527	0.7487765089722676	1	47.38654087254619	9967	176	0.6666666666666666	47.38654087254619	459	613
#	0	0	1	#	#	0	0.2376277267762647	0.7502040816326531	1	47.82931396280007	9987	177	0.5	47.82931396280007	919	1225
1	0	#	#	1	0	1	1.0	1.0	4	49.74511170298846	9999	181	0.6666666666666666	196.7255585149423	613	613
0	0	0	#	1	0	0	1.0	1.0	3	45.124385691620816	9987	184	0.8333333333333334	135.37315707486243	307	307
0	1	1	1	0	0	1	1.0	1.0	2	47.76528684443615	9988	205	1.0	95.5305736888723	153	153
0	1	#	0	#	#	0	1.0	1.0	2	52.088277157054314	9990	207	0.5	104.17655431410863	1224	1224
1	1	1	1	1	1	1	1.0	1.0	5	60.328867351683655	9980	210	1.0	301.64433675841826	153	153
1	0	#	1	0	0	0	1.0	1.0	2	61.435602558002145	9968	212	0.8333333333333334	122.87120511600429	306	306
0	0	1	1	0	1	1	1.0	1.0	4	50.2390954853198	9937	235	1.0	200.9563819412792	152	152
1	0	0	#	0	#	0	1.0	1.0	3	58.341407100762154	9994	270	0.6666666666666666	175.02422130228646	608	608
1	0	#	0	0	0	0	1.0	1.0	5	68.17500289037206	9956	278	0.8333333333333334	340.8750144518603	303	303
1	1	1	0	0	0	0	1.0	1.0	2	59.8456874991276	9985	288	1.0	119.6913749982552	152	152
1	#	#	0	1	1	1	1.0	1.0	3	54.31117466429664	9983	288	0.6666666666666666	162.93352399288992	606	606
0	0	1	#	0	#	1	1.0	1.0	6	43.14919691274482	9997	290	0.6666666666666666	269.6189768455862	607	607
1	0	#	1	1	#	1	1.0	1.0	3	52.64783700280408	9999	298	0.6666666666666666	158.42938876051528	606	606
0	0	0	#	#	#	0	1.0	1.0	4	50.95703444218056	9998	315	0.5	197.78517221090277	1210	1210
1	0	1	0	1	#	1	1.0	1.0	2	66.7803853300191	9966	318	0.8333333333333334	133.5607706600382	302	302
0	1	0	0	0	#	0	1.0	1.0	2	58.61950427383742	9990	375	0.8333333333333334	117.23900854767484	301	301
0	0	1	1	#	0	1	1.0	1.0	2	53.20162523668919	9977	377	0.8333333333333334	106.40325047337838	300	300
1	#	#	1	0	0	0	1.0	1.0	2	58.39542381567091	9991	388	0.6666666666666666	116.79084763134182	601	601
0	1	0	1	0	1	1	1.0	1.0	1	47.7152839712763	9986	407	1.0	47.7152839712763	150	150
0	1	#	0	#	0	0	1.0	1.0	5	61.83152261896315	9989	488	0.6666666666666666	309.15761309481576	594	594
1	1	1	0	1	0	0	1.0	1.0	3	47.60263405924507	9952	546	1.0	142.8079021777352	147	147
1	0	1	#	0	#	0	1.0	1.0	4	53.30424250147906	9969	562	0.6666666666666666	213.21697000591624	588	588
0	1	0	0	0	0	0	1.0	1.0	2	67.73019593325589	9958	596	1.0	135.46039186651177	147	147
0	1	1	0	1	#	0	1.0	1.0	1	45.08683846587305	9959	597	0.8333333333333334	45.08683846587305	294	294
0	0	1	1	#	1	1	1.0	1.0	2	55.61506886156924	9938	599	0.8333333333333334	111.23013772313848	292	292
1	0	#	0	0	#	0	1.0	1.0	3	56.95154734300262	9994	600	0.6666666666666666	170.85464202900786	586	586
1	0	0	#	0	1	0	1.0	1.0	4	50.66216942254427	9994	600	0.8333333333333334	202.64867769017707	293	293
0	1	0	1	0	0	1	1.0	1.0	1	37.991202586797165	9962	601	1.0	37.991202586797165	147	147
1	1	#	#	#	0	0	1.0	1.0	5	57.64480726649078	9996	616	0.5	288.2240363324539	1175	1175
1	1	0	1	#	1	1	1.0	1.0	6	57.31936808062051	9981	616	0.8333333333333334	343.91620848372304	294	294
1	1	0	1	0	1	1	1.0	1.0	4	52.66986025180015	9981	652	1.0	210.6794410072006	146	146
0	0	1	#	1	1	1	1.0	1.0	2	57.49483448987183	9938	654	0.8333333333333334	114.98966897974366	292	292
1	0	#	1	1	0	1	1.0	1.0	1	43.04928795646868	9999	660	0.8333333333333334	40.81160994558585	292	292
1	0	#	0	0	1	0	1.0	1.0	6	47.732425303094594	9994	718	0.8333333333333334	286.39455181856755	290	290
#	0	1	#	1	1	1	1.0	1.0	2	65.74714059773879	9993	735	0.6666666666666666	131.49428119547758	578	578
1	0	0	1	0	1	0	1.0	1.0	4	53.904526780338855	9943	777	1.0	215.61810712135542	144	144
1	0	1	0	0	#	0	1.0	1.0	6	55.47557875942073	9956	781	0.8333333333333334	332.85347255652437	288	288
1	0	0	1	1	#	1	1.0	1.0	5	43.17182249888882	9955	791	0.8333333333333334	215.8591124944441	288	288
1	1	1	#	0	0	0	1.0	1.0	2	57.97980524239064	9985	824	0.8333333333333334	115.95961048478128	287	287
0	1	0	0	#	1	0	1.0	1.0	6	50.530068243881864	9990	856	0.8333333333333334	303.1804094632912	286	286
0	1	#	1	0	1	1	1.0	1.0	3	54.127616932954574	9986	869	0.8333333333333334	162.38285079886373	285	285
0	0	1	0	#	1	1	1.0	1.0	2	43.554828165077524	9997	924	0.8333333333333334	90.88707041269382	283	283
0	0	0	1	#	1	0	1.0	1.0	2	45.65100428375805	9965	930	0.8333333333333334	91.3020085675161	283	283
0	1	1	0	0	#	0	1.0	1.0	3	48.383475575437565	9989	961	0.8333333333333334	145.1504267263127	283	283
0	1	1	0	1	1	0	1.0	1.0	2	38.93829136227043	9959	990	1.0	77.87658272454085	141	141
1	1	0	#	#	0	0	1.0	1.0	3	59.14342998826338	9996	1036	0.6666666666666666	177.43028996479012	560	560
0	0	1	#	#	0	1	1.0	1.0	4	54.44841119435637	9984	1054	0.6666666666666666	217.79364477742547	559	559
1	#	0	#	1	1	1	1.0	1.0	3	53.28868893448149	9983	1059	0.6666666666666666	159.86606680344448	558	558
1	1	1	1	0	0	0	1.0	1.0	2	54.204384809099324	9974	1062	1.0	108.40876961819865	140	140
1	1	#	1	#	0	0	1.0	1.0	1	52.764537598483855	9991	1074	0.6666666666666666	52.764537598483855	559	559
0	#	0	0	#	0	0	1.0	1.0	2	61.66776019610687	9979	1081	0.6666666666666666	123.33552039221374	557	557
0	1	#	1	1	0	1	1.0	1.0	6	48.744687581066785	9967	1088	0.8333333333333334	292.4681254864007	278	278
0	0	1	0	1	#	1	1.0	1.0	2	59.25044344608036	9984	1102	0.8333333333333334	118.50088689216072	278	278
0	1	1	0	0	0	0	1.0	1.0	1	57.48638430725482	9989	1149	1.0	57.48638430725482	139	139
1	0	0	1	1	1	1	1.0	1.0	3	54.46332064487059	9955	1154	1.0	163.3899619346118	138	138
1	1	#	#	0	0	0	1.0	1.0	3	62.67679181321276	9991	1243	0.6666666666666666	188.03037543963828	548	548
0	0	1	0	#	0	1	1.0	1.0	4	53.76202919421453	9984	1245	0.8333333333333334	215.0481167768581	274	274
#	1	1	0	#	0	0	1.0	1.0	3	56.776554581161044	9989	1355	0.6666666666666666	170.32966374348314	540	540
1	1	#	1	1	0	0	1.0	1.0	2	46.05570708970143	9971	1378	0.8333333333333334	92.11141417940286	270	270
1	1	#	1	0	1	1	1.0	1.0	1	56.287388271038544	9981	1430	0.8333333333333334	56.287388271038544	268	268
0	0	0	0	#	#	0	1.0	1.0	4	56.86460945814445	9998	1455	0.6666666666666666	227.32304729072226	534	534
0	#	0	0	1	#	0	1.0	1.0	3	58.893738836087536	9979	1543	0.6666666666666666	176.6812165082626	528	528
0	#	1	1	#	1	1	1.0	1.0	2	62.20574661116364	9982	1558	0.6666666666666666	124.41149322232728	526	526
1	1	0	0	1	0	0	1.0	1.0	3	52.38181701811428	9996	1592	1.0	157.14545105434286	132	132
1	0	1	#	1	0	1	1.0	1.0	2	55.70724926953229	9999	1615	0.8333333333333334	113.26812317383073	262	262
0	0	0	#	1	#	0	1.0	1.0	5	47.65594399022093	9987	1671	0.6666666666666666	238.27971995110465	520	520
1	1	1	1	1	0	0	1.0	1.0	4	46.78618930648224	9971	1696	1.0	187.14475722592897	130	130
1	0	#	1	0	1	0	1.0	1.0	3	50.407759804940895	9969	1702	0.8333333333333334	151.22327941482268	259	259
0	0	1	0	0	#	1	1.0	1.0	1	38.06641391321169	9997	1728	0.8333333333333334	38.58301739151461	259	259
1	1	1	#	0	1	1	1.0	1.0	5	51.24957546700066	9995	1729	0.8333333333333334	256.2478773350033	259	259
